optype,opset,inputs,outputs,attr1,attr1,attr1,attr2,attr2,attr2,attr3,attr3,attr3,attr4,attr4,attr4,attr5,attr5,attr5,attr6,attr6,attr6,attr7,attr7,attr7,attr8,attr8,attr8,attr9,attr9,attr9,attr10,attr10,attr10
op_type,opset,inputs,outputs,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default
Floor,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floor,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRU,14,6,2,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],,clip,float32,,direction,str,foward,hidden_size,int64,,layout,int64,0,linear_before_reset,int64,0,,,,,,
GRU,7,6,2,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],,clip,float32,,direction,str,foward,hidden_size,int64,,linear_before_reset,int64,0,,,,,,,,,
GRU,3,6,2,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],,clip,float32,,direction,str,foward,hidden_size,int64,,linear_before_reset,int64,0,output_sequence,int64,0,,,,,,
GRU,1,6,2,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],,clip,float32,,direction,str,foward,hidden_size,int64,,output_sequence,int64,0,,,,,,,,,
Gather,13,2,1,axis,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gather,11,2,1,axis,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gather,1,2,1,axis,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GatherElements,13,2,1,axis,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GatherElements,11,2,1,axis,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GatherND,13,2,1,batch_dims,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GatherND,12,2,1,batch_dims,int64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GatherND,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemm,13,3,1,alpha,float32,1,beta,float32,1,transA,int64,0,transB,int64,0,,,,,,,,,,,,,,,,,,
Gemm,11,3,1,alpha,float32,1,beta,float32,1,transA,int64,0,transB,int64,0,,,,,,,,,,,,,,,,,,
Gemm,9,3,1,alpha,float32,1,beta,float32,1,transA,int64,0,transB,int64,0,,,,,,,,,,,,,,,,,,
Gemm,7,3,1,alpha,float32,1,beta,float32,1,transA,int64,0,transB,int64,0,,,,,,,,,,,,,,,,,,
Gemm,6,3,1,alpha,float32,1,beta,float32,1,broadcast,int64,0,transA,int64,0,transB,int64,0,,,,,,,,,,,,,,,
Gemm,1,3,1,alpha,float32,1,beta,float32,1,broadcast,int64,0,transA,int64,0,transB,int64,0,,,,,,,,,,,,,,,
GlobalAveragePool,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlobalLpPool,2,1,1,p,float32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlobalLpPool,1,1,1,p,float32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
GlobalMaxPool,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater,1,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
GridSample,16,2,1,align_corners,int64,0,mode,str,bilinear,padding_mode,str,zeros,,,,,,,,,,,,,,,,,,,,,
